epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,358.346,1.15691,0.48058,0.82031,0.97558,1,0.97239,0.63344,1.22921,0.45284,0.75962,0.00089912,0.00089912,0.00089912
141,360.848,1.07806,0.44871,0.77648,0.97558,1,0.97239,0.63344,1.22921,0.45284,0.75962,0.0008912,0.0008912,0.0008912
142,363.431,1.07657,0.4753,0.79876,0.97548,1,0.97239,0.61292,1.30335,0.49556,0.76167,0.00088328,0.00088328,0.00088328
143,365.964,1.11315,0.44126,0.81216,0.97548,1,0.97239,0.61292,1.30335,0.49556,0.76167,0.00087536,0.00087536,0.00087536
144,368.524,1.19996,0.44629,0.76864,0.97543,1,0.97341,0.61362,1.28775,0.52008,0.76275,0.00086744,0.00086744,0.00086744
145,371.051,1.21256,0.47293,0.81334,0.97543,1,0.97341,0.61362,1.28775,0.52008,0.76275,0.00085952,0.00085952,0.00085952
146,373.61,1.12219,0.44927,0.79839,0.97537,1,0.97295,0.60591,1.30793,0.50465,0.76402,0.0008516,0.0008516,0.0008516
147,376.152,1.033,0.42015,0.79427,0.97537,1,0.97295,0.60591,1.30793,0.50465,0.76402,0.00084368,0.00084368,0.00084368
148,378.69,1.04686,0.44826,0.80918,0.97542,1,0.97295,0.60384,1.35508,0.50887,0.76575,0.00083576,0.00083576,0.00083576
149,381.237,1.18658,0.46661,0.79116,0.97542,1,0.97295,0.60384,1.35508,0.50887,0.76575,0.00082784,0.00082784,0.00082784
150,383.777,1.10139,0.44406,0.78068,0.97543,1,0.97295,0.61615,1.35312,0.5111,0.7655,0.00081992,0.00081992,0.00081992
151,386.31,1.14444,0.41471,0.8114,0.97543,1,0.97295,0.61615,1.35312,0.5111,0.7655,0.000812,0.000812,0.000812
152,388.863,1.08427,0.44505,0.80453,0.9757,1,0.97455,0.64089,1.2965,0.49555,0.76531,0.00080408,0.00080408,0.00080408
153,391.392,1.13292,0.46499,0.7868,0.9757,1,0.97455,0.64089,1.2965,0.49555,0.76531,0.00079616,0.00079616,0.00079616
154,393.92,1.13469,0.44718,0.82604,0.97577,1,0.975,0.63869,1.28331,0.47257,0.76247,0.00078824,0.00078824,0.00078824
155,396.434,1.10557,0.44465,0.79676,0.97577,1,0.975,0.63869,1.28331,0.47257,0.76247,0.00078032,0.00078032,0.00078032
156,398.989,1.0842,0.45765,0.78618,0.97571,1,0.975,0.64687,1.28451,0.46574,0.76196,0.0007724,0.0007724,0.0007724
157,401.514,1.0514,0.42548,0.77596,0.97571,1,0.975,0.64687,1.28451,0.46574,0.76196,0.00076448,0.00076448,0.00076448
158,404.073,1.07143,0.44102,0.81626,0.97577,1,0.975,0.65465,1.2609,0.47654,0.75856,0.00075656,0.00075656,0.00075656
159,406.596,1.06002,0.43191,0.81308,0.97577,1,0.975,0.65465,1.2609,0.47654,0.75856,0.00074864,0.00074864,0.00074864
160,409.19,1.08391,0.44665,0.80097,0.97578,1,0.97455,0.64653,1.25605,0.50573,0.76074,0.00074072,0.00074072,0.00074072
161,411.717,1.16083,0.42729,0.78661,0.97578,1,0.97455,0.64653,1.25605,0.50573,0.76074,0.0007328,0.0007328,0.0007328
162,414.275,1.176,0.47963,0.82033,0.97568,1,0.975,0.61927,1.3391,0.52079,0.76338,0.00072488,0.00072488,0.00072488
163,416.793,1.09555,0.46354,0.80597,0.97568,1,0.975,0.61927,1.3391,0.52079,0.76338,0.00071696,0.00071696,0.00071696
164,419.339,1.05019,0.43553,0.77901,0.97567,1,0.97545,0.63286,1.34805,0.50973,0.76342,0.00070904,0.00070904,0.00070904
165,421.861,1.04739,0.41128,0.81753,0.97567,1,0.97545,0.63286,1.34805,0.50973,0.76342,0.00070112,0.00070112,0.00070112
166,424.415,1.11854,0.46633,0.79071,0.9756,1,0.975,0.63648,1.27997,0.47012,0.76477,0.0006932,0.0006932,0.0006932
167,426.934,1.08307,0.43029,0.78471,0.9756,1,0.975,0.63648,1.27997,0.47012,0.76477,0.00068528,0.00068528,0.00068528
168,429.49,1.0031,0.42461,0.7896,0.97569,1,0.97455,0.66872,1.2322,0.45181,0.76229,0.00067736,0.00067736,0.00067736
169,432.241,0.97144,0.45531,0.77441,0.97569,1,0.97455,0.66872,1.2322,0.45181,0.76229,0.00066944,0.00066944,0.00066944
170,435.01,0.95911,0.39964,0.77975,0.97573,1,0.97341,0.65237,1.27005,0.47857,0.76432,0.00066152,0.00066152,0.00066152
171,437.529,1.11552,0.47303,0.79713,0.97573,1,0.97341,0.65237,1.27005,0.47857,0.76432,0.0006536,0.0006536,0.0006536
172,440.057,1.00641,0.43996,0.80132,0.97577,1,0.97341,0.64863,1.35462,0.50895,0.76501,0.00064568,0.00064568,0.00064568
173,442.572,1.07641,0.40913,0.78651,0.97577,1,0.97341,0.64863,1.35462,0.50895,0.76501,0.00063776,0.00063776,0.00063776
174,445.107,1.05343,0.43078,0.80341,0.97569,1,0.97386,0.62339,1.33945,0.50907,0.76579,0.00062984,0.00062984,0.00062984
175,447.624,1.02923,0.42065,0.76625,0.97569,1,0.97386,0.62339,1.33945,0.50907,0.76579,0.00062192,0.00062192,0.00062192
176,450.16,1.05407,0.39269,0.80608,0.97563,1,0.97386,0.64008,1.23131,0.47256,0.76335,0.000614,0.000614,0.000614
177,452.676,1.17693,0.45118,0.8089,0.97563,1,0.97386,0.64008,1.23131,0.47256,0.76335,0.00060608,0.00060608,0.00060608
178,455.224,1.08293,0.43312,0.80266,0.97538,1,0.97341,0.65107,1.23073,0.46514,0.76385,0.00059816,0.00059816,0.00059816
179,457.746,1.15215,0.44406,0.79188,0.97538,1,0.97341,0.65107,1.23073,0.46514,0.76385,0.00059024,0.00059024,0.00059024
180,460.28,1.1344,0.45133,0.80292,0.97533,1,0.97341,0.65341,1.23282,0.467,0.7652,0.00058232,0.00058232,0.00058232
181,462.793,1.11102,0.45807,0.75887,0.97533,1,0.97341,0.65341,1.23282,0.467,0.7652,0.0005744,0.0005744,0.0005744
182,465.335,1.18494,0.45869,0.7909,0.97549,1,0.97341,0.63367,1.29442,0.46985,0.7675,0.00056648,0.00056648,0.00056648
183,467.863,0.97366,0.42807,0.80615,0.97549,1,0.97341,0.63367,1.29442,0.46985,0.7675,0.00055856,0.00055856,0.00055856
184,470.564,0.97362,0.44798,0.80491,0.97569,1,0.97295,0.60401,1.38962,0.50068,0.77225,0.00055064,0.00055064,0.00055064
